1_1	1_2	1_3	1_4	1_5	1_6	1_7	2_1	2_2	2_3	2_4	2_5	2_6	2_7	3_1	3_2	3_3	3_4	3_5	3_6	3_7	3_8	3_9	3_10	3_11	3_12	3_13	3_14	3_15	3_16	3_17	3_18	3_19	3_20	3_21	3_22	3_23	3_24	3_25	3_26	3_27	3_28	3_29	3_30	3_31	3_32	3_33	3_34	3_35	3_36	3_37	3_38	3_39	3_40	3_41	3_42	3_43	3_44	3_45	3_46	3_47	3_48	3_49	3_50	3_51	3_52	3_53	3_54	3_55	3_56	3_57	3_58	3_59	3_60	3_61	3_62	3_63	3_64	3_65	3_66	3_67	3_68	3_69	3_70	3_71	3_72	3_73	3_74	3_75	4_1	4_2	4_3	4_4	4_5	4_6	4_7	4_8	4_9	4_10	4_11	4_12	4_13	4_14	4_15	4_16	4_17	4_18	4_19	4_20	4_21	5_1	5_2	5_3	5_4	5_5	5_6	5_7	6_1	6_2	6_3	6_4	6_5	6_6	6_7	6_8	6_9	6_10	6_11	6_12	6_13	6_14	6_15	7_1	7_2	7_3	7_4	7_5	7_6	7_7	8_1	8_2	8_3	8_4	8_5	8_6	8_7	8_8	8_9	8_10	8_11	8_12	8_13	8_14	8_15	8_16	8_17	8_18	8_19	8_20	8_21	8_22	8_23	8_24	8_25	8_26	8_27	8_28	9R	10R
a	a	a	a	i	i	a	i	i	a	a	i	i	i	i	i	a	i	i	i	a	a	i	i	i	i	a	i	i	a	a	i	i	a	a	a	i	a	i	i	a	i	a	i	a	a	i	a	a	a	a	a	i	a	a	i	a	i	i	i	a	a	i	a	a	a	i	i	i	i	i	i	a	i	i	i	i	i	i	i	i	a	i	a	i	a	a	a	a	i	i	i	i	i	a	i	i	i	a	i	i	i	a	a	i	a	a	a	a	i	a	a	i	a	a	i	a	i	a	a	a	i	a	a	i	a	i	i	a	i	i	i	a	a	a	i	a	i	i	i	i	i	i	a	i	i	i	a	i	i	i	a	i	i	a	a	a	a	a	a	a	a	i	i	i	a	i	9x4	10x5
i	i	i	i	a	a	i	a	a	i	i	a	a	a	a	a	i	a	a	a	i	i	a	a	a	a	i	a	a	i	i	a	a	i	i	i	a	i	a	a	i	a	i	a	i	i	a	i	i	i	i	i	a	i	i	a	i	a	a	a	i	i	a	i	i	i	a	a	a	a	a	a	i	a	a	a	a	a	a	a	a	i	a	i	a	i	i	i	i	a	a	a	a	a	i	a	a	a	i	a	a	a	i	i	a	i	i	i	i	a	i	i	a	i	i	a	i	a	i	i	i	a	i	i	a	i	a	a	i	a	a	a	i	i	i	a	i	a	a	a	a	a	a	i	a	a	a	i	a	a	a	i	a	a	i	i	i	i	i	i	i	i	a	a	a	i	a	9x3	10x2
a	a	i	a	a	i	i	i	a	a	i	a	i	a	i	a	i	i	i	a	i	a	a	i	i	a	i	i	i	i	a	a	i	i	a	i	a	a	i	a	i	i	a	i	a	i	a	a	a	i	i	a	a	i	a	a	i	i	i	a	a	i	a	i	i	a	a	i	i	a	i	a	a	a	i	i	a	i	a	i	a	a	i	i	a	i	a	i	i	i	i	a	i	a	i	i	i	a	i	i	i	a	i	a	i	i	i	i	a	a	a	i	i	a	i	i	a	i	i	i	a	i	i	a	a	i	i	i	i	i	a	a	a	a	i	a	a	i	i	i	a	a	i	i	i	i	a	i	i	a	i	i	i	a	a	i	a	a	i	i	i	a	a	i	a	a	a	9x2	10x5
i	i	a	i	i	a	a	a	i	i	a	i	a	i	a	i	a	a	a	i	a	i	i	a	a	i	a	a	a	a	i	i	a	a	i	a	i	i	a	i	a	a	i	a	i	a	i	i	i	a	a	i	i	a	i	i	a	a	a	i	i	a	a	a	a	i	i	a	a	i	a	i	i	i	a	a	i	a	i	a	i	i	a	a	i	a	i	a	a	a	a	i	a	i	a	a	a	i	a	a	a	i	a	i	a	a	a	a	i	i	i	a	a	i	a	a	i	a	a	a	i	a	a	i	i	a	a	a	a	a	i	i	i	i	a	i	i	a	a	a	i	i	a	a	a	a	i	a	a	i	a	a	a	i	i	a	i	i	a	a	a	i	i	a	i	i	i	9x4	10x4
a	a	a	i	a	i	a	a	a	i	a	a	a	a	i	i	a	i	a	a	a	i	i	i	a	a	i	i	a	a	a	a	i	a	i	i	i	a	a	a	a	i	a	a	a	a	a	i	i	i	a	a	a	i	i	i	i	a	i	i	i	i	i	a	i	i	a	i	a	i	a	a	a	i	i	i	a	a	i	a	a	a	i	a	i	i	a	a	i	a	i	a	a	i	i	a	i	i	a	a	i	a	a	a	a	i	a	i	a	i	i	i	i	i	a	i	i	i	a	i	i	a	i	a	i	a	i	a	i	i	a	i	i	a	i	i	i	i	a	a	a	a	a	a	i	a	i	i	i	i	i	i	a	a	i	a	a	i	i	i	a	i	i	i	a	a	i	9x5	10x1
i	i	i	a	i	a	i	i	i	a	i	i	i	i	a	a	i	a	i	i	i	a	a	a	i	i	a	a	i	i	i	i	a	i	a	a	a	i	i	i	i	a	i	i	i	i	i	a	a	a	i	i	i	a	i	a	a	i	a	a	a	a	i	i	a	a	i	a	i	a	i	i	i	a	a	a	i	i	a	i	i	i	a	i	a	a	i	i	a	i	a	i	i	a	a	i	a	a	i	i	a	i	i	i	i	a	i	a	i	a	a	a	a	a	i	a	a	a	i	a	a	i	a	i	a	i	a	i	a	a	i	a	a	i	a	a	a	a	i	i	i	i	i	i	a	i	a	a	a	a	a	a	i	i	a	i	i	a	a	a	i	a	a	a	i	i	a	9x2	10x1
i	i	a	a	i	i	i	a	a	i	i	i	i	i	i	i	i	i	a	a	a	i	i	i	i	i	i	a	i	a	a	i	a	i	i	i	i	i	i	a	i	i	i	a	a	a	i	a	i	i	i	a	i	i	a	i	i	i	a	a	i	i	a	a	i	a	i	i	a	a	i	a	i	i	a	i	i	i	a	a	i	i	a	i	a	a	i	i	i	i	i	i	a	i	i	a	a	i	i	i	i	a	i	i	i	i	a	i	i	a	a	a	i	a	i	a	i	i	a	i	i	i	a	a	i	i	a	a	a	a	a	i	i	a	i	a	a	a	i	a	i	i	i	a	i	a	a	i	i	i	i	a	a	a	a	a	i	i	i	a	i	i	a	i	i	i	i	9x4	10x1
i	a	i	i	a	a	a	i	i	a	a	a	a	a	a	a	a	a	i	i	i	a	a	a	a	a	a	i	a	i	i	a	i	a	a	a	a	a	a	i	a	a	a	i	i	i	a	i	a	a	a	i	a	a	a	a	a	a	a	a	a	a	a	i	a	i	a	a	i	i	a	i	a	a	i	a	a	a	i	a	a	a	i	a	i	i	a	a	a	a	a	a	i	a	a	i	i	a	a	a	a	i	a	a	a	a	i	a	a	i	i	i	a	i	a	i	a	a	i	a	a	a	i	i	a	a	i	i	i	i	i	a	a	i	a	i	i	i	a	i	a	a	a	i	a	i	i	a	a	a	a	i	i	i	i	i	a	a	a	i	a	a	i	a	a	a	a	9x5	10x5
a	a	a	a	a	i	i	i	i	i	i	a	i	i	a	i	a	i	i	i	i	i	a	a	a	i	i	a	i	a	a	i	i	i	i	a	a	i	a	a	a	a	i	i	i	i	a	i	i	i	i	i	i	a	a	i	a	i	i	i	a	a	i	i	i	i	a	a	a	a	a	a	i	i	i	i	i	i	i	i	i	a	a	a	i	i	a	i	a	a	i	i	a	a	i	i	i	i	i	a	a	i	a	i	i	a	a	i	i	i	a	i	a	i	i	i	a	i	i	i	i	i	a	i	i	a	a	i	i	i	i	a	i	i	a	a	i	a	i	i	i	a	i	a	i	i	i	i	i	a	a	a	a	a	i	i	a	a	i	i	a	i	a	i	a	i	i	9x3	10x1
a	i	i	i	i	a	a	a	a	a	a	i	a	a	i	a	i	a	a	a	a	a	i	i	i	a	a	i	a	i	i	a	a	a	a	i	i	a	i	i	i	i	a	a	a	a	i	a	a	a	a	a	i	i	a	i	i	a	i	i	i	a	i	a	a	a	i	i	i	i	i	i	a	a	a	a	a	a	i	i	a	i	i	i	a	a	i	a	i	i	a	a	i	i	a	a	a	a	a	i	i	a	i	a	a	i	i	a	a	a	i	a	i	a	a	a	i	a	a	a	a	a	i	a	a	i	i	a	a	a	a	i	a	a	i	i	a	i	a	a	a	i	a	i	a	a	a	a	a	i	i	i	i	i	a	a	i	i	a	a	i	a	i	a	i	a	a	9x2	10x2
i	i	i	a	i	i	i	a	a	a	i	i	a	a	i	i	a	i	i	i	a	i	a	a	a	a	a	a	a	a	i	i	i	a	a	a	i	a	i	a	a	i	i	a	i	a	i	i	i	a	a	a	a	i	i	a	a	i	i	i	a	i	a	i	a	a	a	a	a	i	a	a	i	i	i	a	i	a	a	a	i	i	i	a	i	i	i	i	i	a	a	i	a	i	i	i	i	a	a	i	i	i	i	a	a	i	a	a	i	i	a	i	i	i	i	i	i	i	a	i	i	a	i	i	i	a	i	i	i	a	i	a	i	i	i	a	i	i	i	i	i	a	i	i	a	a	a	i	i	a	i	i	i	i	a	a	a	i	a	a	i	a	i	i	i	i	i	9x2	10x3
a	a	a	i	a	a	a	i	i	i	a	i	i	i	a	a	i	a	a	a	i	a	i	i	i	i	i	i	i	i	a	a	a	i	i	i	a	i	a	i	i	a	a	i	a	i	a	a	a	i	i	i	i	a	a	i	i	a	a	a	i	a	i	a	i	i	i	i	i	a	i	i	a	a	a	i	i	i	a	i	a	a	a	i	a	a	a	a	a	i	i	a	i	a	a	a	a	i	i	a	a	a	a	i	i	a	i	i	a	a	i	a	a	a	a	a	a	a	i	a	i	i	a	a	i	i	a	a	a	i	a	i	a	a	a	i	a	a	a	a	a	i	a	a	i	i	i	a	a	i	a	a	a	a	i	i	i	a	i	i	a	i	a	a	a	a	a	9x5	10x3
a	i	a	a	i	a	i	i	a	i	a	a	i	i	i	i	a	i	a	a	i	i	a	i	a	a	a	i	i	i	i	i	i	a	a	i	i	i	a	a	i	i	a	a	a	i	a	a	i	i	i	i	a	a	i	a	a	a	i	i	a	i	a	a	a	a	i	a	i	i	a	i	i	a	a	i	a	a	i	a	a	a	i	i	i	a	a	i	i	i	i	i	a	i	a	i	i	i	i	i	a	a	i	i	a	a	a	i	i	i	i	i	i	i	a	a	i	i	i	i	a	i	i	i	a	i	a	a	i	a	i	a	a	i	a	i	a	i	i	i	a	i	a	i	a	i	i	a	a	i	a	a	i	i	i	i	i	i	i	i	i	i	a	i	i	i	i	9x4	10x3
a	a	i	i	a	i	a	a	i	i	i	a	a	a	a	a	i	a	i	i	i	a	i	a	i	i	i	a	a	a	a	a	a	i	i	a	a	a	i	i	a	a	i	a	i	a	i	i	i	a	a	a	a	i	i	a	i	i	a	a	i	i	a	i	i	i	a	i	a	a	i	a	i	i	a	a	a	i	a	a	i	i	a	a	a	i	i	a	a	a	a	a	i	a	a	a	a	i	a	a	i	a	i	a	i	i	i	a	a	a	i	a	a	a	a	i	a	a	a	a	a	a	a	a	a	a	a	i	a	a	a	i	i	a	i	a	i	a	a	a	i	i	i	a	i	a	a	i	i	a	i	i	a	a	a	a	a	a	a	a	a	a	i	a	a	a	a	9x1	10x5
i	i	a	a	i	a	i	a	a	a	a	i	i	i	i	i	a	i	a	a	a	i	a	a	a	a	a	i	a	i	i	i	a	a	a	i	a	i	a	a	i	a	i	i	a	i	a	a	a	i	i	i	i	a	a	i	a	a	i	i	a	a	i	a	a	a	i	a	i	i	a	i	a	a	i	i	i	a	i	i	a	a	i	i	a	a	i	a	a	i	i	a	a	i	i	i	i	a	a	i	i	i	a	i	i	a	a	i	i	i	a	a	i	a	i	a	i	i	a	a	i	i	i	a	i	a	i	a	i	i	a	a	i	i	i	i	i	a	a	a	a	a	a	i	i	i	i	a	a	a	a	a	a	a	i	i	i	i	a	i	i	i	a	a	i	i	a	9x1	10x3
i	a	a	a	i	i	i	i	i	a	i	i	i	i	a	i	a	i	i	i	a	i	a	i	a	i	a	a	i	a	a	i	i	i	i	a	i	a	i	i	a	i	i	i	i	a	i	i	a	a	a	a	a	a	i	i	a	i	i	a	a	i	a	i	i	a	a	i	a	i	i	a	i	i	i	i	i	i	a	i	i	i	a	a	i	a	a	i	i	a	i	i	i	a	i	a	a	i	i	i	a	i	a	i	a	i	i	i	i	a	a	i	i	i	i	i	i	a	i	i	i	a	i	i	i	i	i	i	a	i	i	i	a	i	a	i	a	i	i	i	i	a	i	a	i	a	a	a	a	i	a	i	i	i	a	i	a	a	i	i	i	a	a	i	i	i	i	9x5	10x2
a	a	i	i	a	a	a	i	a	a	a	i	a	a	i	a	i	a	a	i	i	a	i	i	i	a	i	a	i	a	a	a	i	a	i	i	i	i	a	a	i	i	a	a	a	i	a	a	i	i	i	i	a	i	a	i	i	a	i	i	i	a	i	a	a	a	i	a	i	a	a	i	a	a	a	i	a	a	i	a	i	i	a	a	i	i	a	i	i	a	a	i	a	i	a	i	a	a	i	a	a	i	a	a	a	a	a	a	i	i	a	i	a	i	i	i	a	i	i	i	a	i	a	i	a	i	a	i	a	a	i	a	a	a	a	a	a	i	i	i	a	i	i	a	a	a	i	i	i	i	i	a	i	i	a	a	i	i	i	a	i	i	i	i	i	a	i	9x1	10x1
i	a	i	i	a	a	i	a	a	i	i	i	i	a	i	a	a	a	i	a	i	a	i	a	i	i	a	i	a	i	i	a	i	i	i	a	a	i	i	a	a	i	i	i	a	a	a	i	i	i	a	i	i	a	i	a	a	i	a	i	i	a	a	i	i	i	a	i	i	i	a	a	a	i	a	a	a	i	i	a	a	a	a	i	i	i	i	a	a	i	i	a	a	a	i	i	i	a	a	i	a	i	i	i	i	a	a	a	a	i	i	i	a	i	a	a	a	i	i	i	a	i	a	a	a	a	a	a	a	i	i	a	i	i	a	i	a	a	a	a	i	a	a	a	i	i	i	a	i	a	i	i	i	i	i	i	a	a	a	i	a	i	i	i	a	i	a	9x4	10x2
